Humidity,Wind,Temp,Summer
0.6925,0.192167,0.37,0
0.839565,0.234261,0.346957,0
0.530417,0.254367,0.620833,0
0.615,0.0721458,0.7025,1
0.9725,0.0783667,0.609167,0
0.697083,0.342667,0.616667,0
0.50625,0.210821,0.296667,0
0.7575,0.047275,0.423333,0
0.716667,0.185325,0.669167,0
0.577083,0.131846,0.599167,0
0.77,0.248754,0.710833,1
0.57375,0.182842,0.7775,1
0.42625,0.385571,0.573333,0
0.649565,0.23297,0.316522,0
0.614167,0.241925,0.595,0
0.47,0.27675,0.691667,1
0.697917,0.122512,0.636667,0
0.540833,0.200258,0.771667,1
0.925,0.190308,0.435833,0
0.333478,0.347835,0.352174,0
0.434167,0.36195,0.138333,0
0.585217,0.127839,0.211304,0
0.907083,0.0982583,0.393333,0
0.739167,0.274879,0.5025,0
0.52,0.229475,0.593333,0
0.579583,0.149883,0.5575,0
0.805833,0.160446,0.344167,0
0.858333,0.2214,0.428333,0
0.72,0.235692,0.53,0
0.863333,0.179725,0.5125,0
0.756667,0.152992,0.621667,0
0.50375,0.258713,0.583333,0
0.775417,0.264308,0.26,0
0.60375,0.187192,0.180833,0
0.507917,0.189067,0.469167,0
0.489167,0.207713,0.466667,0
0.948261,0.343287,0.376522,0
0.5775,0.154846,0.215833,0
0.720417,0.148642,0.484167,0
0.578333,0.236329,0.700833,1
0.489583,0.129975,0.376667,0
0.887917,0.230725,0.46,0
0.596667,0.296037,0.353333,0
0.623333,0.235067,0.380833,0
0.657083,0.144904,0.353333,0
0.699167,0.143679,0.703333,1
0.49125,0.270529,0.343333,0
0.694583,0.149871,0.526667,0
0.681304,0.155091,0.274783,0
0.734783,0.168726,0.291304,0
0.568333,0.149883,0.808333,1
0.8825,0.351371,0.254167,0
0.400833,0.215792,0.269167,0
0.8725,0.357587,0.623333,0
0.492083,0.163554,0.861667,1
0.704167,0.165425,0.713333,1
0.458333,0.281721,0.440833,0
0.530417,0.122512,0.700833,1
0.5475,0.224496,0.61,0
0.538333,0.195904,0.261667,0
0.744167,0.216412,0.575,0
0.721667,0.0690375,0.408333,0
0.62125,0.161079,0.414167,0
0.62375,0.170396,0.721667,1
0.790417,0.212696,0.673333,0
0.91125,0.110708,0.218333,0
0.722917,0.117546,0.6575,0
0.793043,0.1233,0.203478,0
0.651739,0.145365,0.196522,0
0.741739,0.208317,0.292174,0
0.507917,0.225129,0.606667,0
0.539167,0.235092,0.4375,0
